Nível,Código,Designação
6,170357,União das freguesias de Loivos e Póvoa de Agrações
6,170358,União das freguesias de Santa Cruz/Trindade e Sanjurge
6,170359,União das freguesias de Soutelo e Seara Velha
6,170360,União das freguesias de Travancas e Roriz
6,170341,Vale de Anta
6,170361,"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)"
6,170343,Vila Verde da Raia
6,170344,Vilar de Nantes
6,170345,Vilarelho da Raia
6,170347,Vilas Boas
6,170349,Vilela do Tâmega
6,170348,Vilela Seca
5,1706,Montalegre
6,170601,Cabril
6,170603,Cervos
6,170604,Chã
6,170607,Covelo do Gerês
6,170609,Ferral
6,170612,Gralhas
6,170616,Morgade
6,170618,Negrões
6,170619,Outeiro
6,170623,Pitões das Junias
6,170625,Reigoso
6,170626,Salto
6,170627,Santo André
6,170629,Sarraquinhos
6,170631,Solveira
6,170632,Tourém
6,170636,"União das freguesias de Cambeses do Rio, Donões e Mourilhe"
6,170637,União das freguesias de Meixedo e Padornelos
6,170638,União das freguesias de Montalegre e Padroso
6,170639,"União das freguesias de Paradela, Contim e Fiães"
6,170640,União das freguesias de Sezelhe e Covelães
