,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-110618,Lumiar,243,526,7938.0,8192.0,1816.0,2049.0,332.0,446.0,799.0,1424.0,28.0,1390.0,14.0,979.0,106.0,51.0,24.0,66.0,14.0,71.0,66.0,44.0,
LOCAL-110621,Marvila,296,257,7905.0,2194.0,394.0,1821.0,382.0,151.0,263.0,1459.0,48.0,167.0,29.0,710.0,214.0,43.0,30.0,88.0,57.0,79.0,48.0,50.0,
LOCAL-110661,Misericórdia,58,88,1766.0,1060.0,311.0,549.0,58.0,55.0,276.0,446.0,11.0,249.0,4.0,250.0,41.0,12.0,2.0,18.0,8.0,8.0,6.0,4.0,
LOCAL-110633,Olivais,249,321,6654.0,3674.0,665.0,1926.0,321.0,196.0,398.0,1582.0,29.0,428.0,25.0,805.0,154.0,35.0,21.0,83.0,17.0,49.0,52.0,31.0,
LOCAL-110662,Parque das Nações,88,223,3710.0,3203.0,541.0,837.0,145.0,153.0,277.0,593.0,10.0,643.0,10.0,409.0,61.0,22.0,8.0,21.0,8.0,40.0,25.0,11.0,
LOCAL-110663,Penha de França,169,223,4877.0,2684.0,414.0,1867.0,186.0,175.0,563.0,1213.0,24.0,302.0,13.0,676.0,108.0,37.0,15.0,59.0,17.0,37.0,43.0,23.0,
LOCAL-110664,Santa Clara,149,164,3945.0,1775.0,353.0,770.0,237.0,120.0,174.0,708.0,16.0,239.0,16.0,401.0,109.0,12.0,15.0,46.0,12.0,35.0,23.0,19.0,
LOCAL-110665,Santa Maria Maior,58,56,1750.0,717.0,161.0,482.0,54.0,39.0,199.0,474.0,14.0,116.0,7.0,197.0,54.0,6.0,3.0,21.0,8.0,9.0,7.0,8.0,
LOCAL-110666,Santo António,52,98,1645.0,1759.0,545.0,577.0,51.0,82.0,361.0,359.0,12.0,395.0,5.0,257.0,25.0,10.0,4.0,14.0,1.0,11.0,7.0,9.0,
LOCAL-110639,São Domingos de Benfica,194,350,6222.0,6533.0,1430.0,1619.0,220.0,331.0,592.0,1108.0,25.0,907.0,20.0,799.0,69.0,28.0,17.0,41.0,6.0,33.0,41.0,29.0,
LOCAL-110667,São Vicente,82,95,2353.0,1198.0,192.0,813.0,67.0,67.0,345.0,640.0,21.0,124.0,6.0,325.0,44.0,10.0,2.0,24.0,4.0,20.0,12.0,10.0,
LOCAL-110702,Bucelas,41,50,988.0,322.0,56.0,217.0,47.0,14.0,33.0,317.0,3.0,26.0,4.0,89.0,31.0,8.0,6.0,17.0,6.0,16.0,3.0,1.0,
LOCAL-110731,"Camarate, Unhos e Apelação",267,207,6616.0,1804.0,311.0,1106.0,438.0,80.0,116.0,1633.0,27.0,97.0,26.0,498.0,194.0,31.0,35.0,93.0,17.0,56.0,39.0,30.0,
LOCAL-110705,Fanhões,20,33,480.0,239.0,42.0,102.0,51.0,7.0,16.0,218.0,4.0,12.0,1.0,46.0,29.0,6.0,3.0,8.0,1.0,10.0,3.0,1.0,
LOCAL-110707,Loures,234,373,5357.0,3067.0,441.0,1403.0,608.0,170.0,233.0,1481.0,25.0,296.0,16.0,666.0,144.0,35.0,38.0,72.0,17.0,66.0,46.0,23.0,
LOCAL-110708,Lousa,11,37,560.0,363.0,44.0,134.0,36.0,12.0,13.0,149.0,6.0,24.0,0.0,58.0,19.0,7.0,3.0,0.0,1.0,7.0,4.0,3.0,
LOCAL-110726,Moscavide e Portela,140,222,4356.0,3281.0,479.0,903.0,213.0,161.0,224.0,892.0,9.0,349.0,4.0,451.0,71.0,17.0,12.0,20.0,8.0,32.0,21.0,21.0,
LOCAL-110727,Sacavém e Prior Velho,153,239,4988.0,2109.0,297.0,1085.0,286.0,119.0,164.0,1392.0,18.0,251.0,11.0,488.0,107.0,30.0,9.0,47.0,10.0,41.0,22.0,13.0,
LOCAL-110728,"Santa Iria de Azoia, São João da Talha e Bobadela",421,484,9605.0,3615.0,508.0,2323.0,599.0,174.0,252.0,3387.0,37.0,303.0,20.0,976.0,273.0,63.0,66.0,107.0,19.0,104.0,52.0,40.0,
LOCAL-110729,Santo Antão e São Julião do Tojal,69,84,1645.0,604.0,92.0,316.0,121.0,24.0,43.0,706.0,13.0,56.0,4.0,153.0,58.0,8.0,5.0,25.0,3.0,27.0,5.0,9.0,
LOCAL-110730,Santo António dos Cavaleiros e Frielas,188,253,5487.0,2250.0,370.0,1447.0,482.0,122.0,235.0,1194.0,17.0,221.0,18.0,650.0,115.0,36.0,22.0,65.0,20.0,49.0,31.0,26.0,
LOCAL-110812,Lourinhã e Atalaia,139,183,1920.0,1808.0,258.0,545.0,144.0,51.0,63.0,180.0,9.0,56.0,12.0,217.0,38.0,12.0,9.0,23.0,6.0,51.0,10.0,4.0,
LOCAL-110813,Miragaia e Marteleira,33,67,598.0,546.0,79.0,121.0,50.0,12.0,16.0,44.0,1.0,9.0,3.0,58.0,11.0,9.0,3.0,8.0,2.0,16.0,4.0,2.0,
