,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-040911,Lousa,3,0,47.0,,10.0,3.0,3.0,,2.0,3.0,0.0,3.0,0.0,0.0,0.0,,,73.0,0.0,,,,,,
LOCAL-040913,Mós,1,0,44.0,,6.0,4.0,1.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,25.0,3.0,,,,,,
LOCAL-040916,Torre de Moncorvo,13,11,553.0,,111.0,35.0,14.0,,10.0,4.0,5.0,25.0,0.0,0.0,3.0,,,553.0,31.0,,,,,,
LOCAL-040921,Urros e Peredo dos Castelhanos,0,2,104.0,,10.0,3.0,4.0,,1.0,1.0,0.0,3.0,0.0,1.0,0.0,,,51.0,3.0,,,,,,
LOCAL-041020,Assares e Lodões,1,1,59.0,,6.0,4.0,1.0,,0.0,2.0,0.0,6.0,0.0,0.0,0.0,,,28.0,3.0,,,,,,
LOCAL-041002,Benlhevai,4,0,56.0,,7.0,8.0,6.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,38.0,4.0,,,,,,
LOCAL-041021,Candoso e Carvalho de Egas,0,3,70.0,,6.0,5.0,4.0,,0.0,2.0,1.0,3.0,0.0,0.0,0.0,,,54.0,4.0,,,,,,
LOCAL-041005,Freixiel,5,2,146.0,,26.0,3.0,6.0,,2.0,2.0,1.0,8.0,0.0,0.0,1.0,,,114.0,6.0,,,,,,
LOCAL-041009,Roios,3,3,50.0,,5.0,2.0,2.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,28.0,5.0,,,,,,
LOCAL-041010,Samões,1,0,77.0,,14.0,1.0,1.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,,57.0,6.0,,,,,,
LOCAL-041011,Sampaio,1,0,35.0,,16.0,0.0,2.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,34.0,4.0,,,,,,
LOCAL-041012,Santa Comba de Vilariça,4,1,111.0,,29.0,4.0,1.0,,1.0,0.0,1.0,3.0,0.0,1.0,0.0,,,39.0,3.0,,,,,,
LOCAL-041013,Seixo de Manhoses,3,1,81.0,,23.0,4.0,2.0,,2.0,0.0,2.0,5.0,0.0,0.0,0.0,,,87.0,13.0,,,,,,
LOCAL-041014,Trindade,0,0,20.0,,4.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,46.0,4.0,,,,,,
LOCAL-041015,Vale Frechoso,0,0,45.0,,13.0,1.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,49.0,2.0,,,,,,
LOCAL-041022,Valtorno e Mourão,2,1,71.0,,12.0,6.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,102.0,4.0,,,,,,
LOCAL-041023,Vila Flor e Nabo,14,6,474.0,,96.0,22.0,17.0,,7.0,6.0,2.0,14.0,1.0,1.0,2.0,,,436.0,23.0,,,,,,
LOCAL-041024,Vilas Boas e Vilarinho das Azenhas,2,2,142.0,,35.0,11.0,4.0,,2.0,6.0,1.0,4.0,2.0,0.0,0.0,,,136.0,18.0,,,,,,
LOCAL-041115,"Algoso, Campo de Víboras e Uva",4,3,71.0,,21.0,3.0,3.0,,2.0,0.0,0.0,4.0,0.0,0.0,0.0,,,281.0,6.0,,,,,,
LOCAL-041103,Argozelo,7,4,187.0,,14.0,3.0,3.0,,3.0,0.0,0.0,1.0,1.0,0.0,1.0,,,120.0,0.0,,,,,,
LOCAL-041116,Caçarelhos e Angueira,1,1,57.0,,10.0,7.0,2.0,,1.0,1.0,1.0,4.0,0.0,0.0,1.0,,,97.0,2.0,,,,,,
LOCAL-041107,Carção,3,2,68.0,,15.0,0.0,1.0,,0.0,1.0,0.0,3.0,0.0,2.0,0.0,,,69.0,1.0,,,,,,
LOCAL-041108,Matela,1,1,28.0,,2.0,3.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,67.0,1.0,,,,,,
LOCAL-041109,Pinelo,1,0,25.0,,5.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,74.0,1.0,,,,,,
LOCAL-041110,Santulhão,3,3,56.0,,3.0,2.0,1.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,129.0,0.0,,,,,,
LOCAL-041117,Vale de Frades e Avelanoso,0,0,47.0,,4.0,3.0,3.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,80.0,1.0,,,,,,
LOCAL-041113,Vilar Seco,1,1,19.0,,4.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,56.0,3.0,,,,,,
LOCAL-041114,Vimioso,13,5,256.0,,29.0,13.0,10.0,,8.0,2.0,1.0,6.0,1.0,0.0,1.0,,,239.0,2.0,,,,,,
LOCAL-041201,Agrochão,4,1,47.0,,11.0,1.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,49.0,1.0,,,,,,
LOCAL-041203,Candedo,1,2,64.0,,12.0,4.0,1.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,45.0,4.0,,,,,,
LOCAL-041204,Celas,2,0,40.0,,11.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33.0,4.0,,,,,,
LOCAL-041236,Curopos e Vale de Janeiro,2,0,73.0,,11.0,1.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,,,61.0,1.0,,,,,,
LOCAL-041206,Edral,4,0,54.0,,5.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,23.0,2.0,,,,,,
LOCAL-041207,Edrosa,1,1,43.0,,8.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,46.0,2.0,,,,,,
LOCAL-041208,Ervedosa,0,0,91.0,,17.0,9.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,73.0,5.0,,,,,,
LOCAL-041237,Moimenta e Montouto,2,2,64.0,,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,38.0,3.0,,,,,,
LOCAL-041238,Nunes e Ousilhão,3,2,65.0,,13.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,36.0,3.0,,,,,,
LOCAL-041215,Paçó,1,0,31.0,,10.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,49.0,2.0,,,,,,
LOCAL-041216,Penhas Juntas,2,1,44.0,,6.0,0.0,0.0,,2.0,1.0,0.0,1.0,0.0,1.0,0.0,,,83.0,2.0,,,,,,
LOCAL-041239,Quirás e Pinheiro Novo,1,1,48.0,,5.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,34.0,1.0,,,,,,
LOCAL-041219,Rebordelo,5,1,177.0,,38.0,10.0,2.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,92.0,3.0,,,,,,
LOCAL-041221,Santalha,1,1,38.0,,3.0,2.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,63.0,0.0,,,,,,
LOCAL-041240,Sobreiro de Baixo e Alvaredos,1,0,80.0,,21.0,2.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,81.0,3.0,,,,,,
LOCAL-041241,"Soeira, Fresulfe e Mofreita",5,2,45.0,,4.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,44.0,0.0,,,,,,
LOCAL-041242,Travanca e Santa Cruz,0,0,43.0,,11.0,1.0,1.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,59.0,4.0,,,,,,
LOCAL-041226,Tuizelo,4,0,41.0,,10.0,3.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,74.0,2.0,,,,,,
LOCAL-041227,Vale das Fontes,2,0,74.0,,8.0,3.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,68.0,2.0,,,,,,
LOCAL-041229,Vila Boa de Ousilhão,3,2,33.0,,6.0,3.0,1.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,,28.0,1.0,,,,,,
LOCAL-041243,Vilar de Lomba e São Jomil,1,0,50.0,,4.0,1.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,66.0,4.0,,,,,,
LOCAL-041232,Vilar de Ossos,2,1,59.0,,5.0,1.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,46.0,0.0,,,,,,
LOCAL-041233,Vilar de Peregrinos,1,0,26.0,,4.0,0.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,45.0,2.0,,,,,,
LOCAL-041234,Vilar Seco de Lomba,1,3,55.0,,3.0,0.0,0.0,,1.0,1.0,1.0,3.0,0.0,0.0,0.0,,,39.0,1.0,,,,,,
LOCAL-041230,Vila Verde,3,0,36.0,,7.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47.0,1.0,,,,,,
LOCAL-041235,Vinhais,17,5,516.0,,60.0,16.0,7.0,,5.0,3.0,2.0,21.0,1.0,1.0,2.0,,,412.0,12.0,,,,,,
LOCAL-050106,Belmonte e Colmeal da Torre,29,14,972.0,,164.0,68.0,39.0,7.0,9.0,5.0,10.0,70.0,0.0,3.0,3.0,10.0,,333.0,14.0,,3.0,,1.0,,
LOCAL-050102,Caria,15,9,416.0,,81.0,36.0,21.0,2.0,12.0,1.0,3.0,27.0,2.0,0.0,0.0,2.0,,231.0,17.0,,0.0,,2.0,,
LOCAL-050104,Inguias,7,3,169.0,,21.0,14.0,7.0,3.0,5.0,3.0,1.0,12.0,1.0,0.0,0.0,2.0,,68.0,4.0,,0.0,,1.0,,
LOCAL-050105,Maçainhas,4,5,97.0,,6.0,6.0,4.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,,32.0,1.0,,0.0,,0.0,,
LOCAL-050201,Alcains,19,32,1087.0,,210.0,94.0,83.0,5.0,15.0,6.0,21.0,50.0,0.0,2.0,5.0,10.0,,516.0,28.0,,1.0,,1.0,,
LOCAL-050202,Almaceda,2,1,152.0,,14.0,14.0,4.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,,59.0,4.0,,0.0,,0.0,,
LOCAL-050203,Benquerenças,5,8,181.0,,34.0,25.0,11.0,1.0,6.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,,75.0,5.0,,0.0,,0.0,,
LOCAL-050205,Castelo Branco,140,205,7264.0,,2133.0,845.0,620.0,29.0,233.0,47.0,220.0,469.0,12.0,14.0,35.0,42.0,,5465.0,203.0,,2.0,,8.0,,
LOCAL-050226,Cebolais de Cima e Retaxo,8,11,548.0,,87.0,56.0,18.0,8.0,18.0,2.0,9.0,43.0,0.0,0.0,3.0,4.0,,154.0,13.0,,0.0,,2.0,,
LOCAL-050227,Escalos de Baixo e Mata,12,6,295.0,,49.0,19.0,8.0,1.0,2.0,0.0,4.0,7.0,0.0,0.0,1.0,1.0,,105.0,9.0,,1.0,,1.0,,
LOCAL-050228,Escalos de Cima e Lousa,10,8,425.0,,70.0,32.0,7.0,2.0,4.0,2.0,1.0,17.0,1.0,1.0,0.0,3.0,,126.0,11.0,,1.0,,0.0,,
LOCAL-050229,Freixial e Juncal do Campo,7,5,258.0,,39.0,14.0,4.0,0.0,4.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,,85.0,2.0,,0.0,,0.0,,
LOCAL-050211,Lardosa,4,0,251.0,,54.0,12.0,4.0,0.0,8.0,2.0,3.0,12.0,0.0,0.0,0.0,1.0,,101.0,3.0,,0.0,,2.0,,
LOCAL-050212,Louriçal do Campo,3,3,142.0,,24.0,6.0,7.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,,81.0,5.0,,0.0,,0.0,,
LOCAL-050214,Malpica do Tejo,10,1,130.0,,22.0,6.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,2.0,,19.0,2.0,,0.0,,1.0,,
LOCAL-050216,Monforte da Beira,2,2,106.0,,18.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,29.0,6.0,,0.0,,0.0,,
LOCAL-050230,Ninho do Açor e Sobral do Campo,6,3,194.0,,36.0,12.0,9.0,2.0,5.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,,95.0,7.0,,0.0,,1.0,,
LOCAL-050231,Póvoa de Rio de Moinhos e Cafede,7,10,223.0,,64.0,17.0,13.0,1.0,4.0,5.0,2.0,11.0,0.0,1.0,1.0,2.0,,99.0,6.0,,0.0,,2.0,,
LOCAL-050220,Salgueiro do Campo,3,5,237.0,,36.0,17.0,4.0,0.0,2.0,0.0,5.0,10.0,0.0,1.0,2.0,0.0,,71.0,4.0,,0.0,,1.0,,
LOCAL-050221,Santo André das Tojeiras,3,2,167.0,,28.0,5.0,5.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,,100.0,9.0,,0.0,,0.0,,
LOCAL-050222,São Vicente da Beira,10,4,259.0,,29.0,30.0,3.0,2.0,3.0,0.0,3.0,7.0,1.0,0.0,9.0,0.0,,185.0,9.0,,0.0,,0.0,,
LOCAL-050223,Sarzedas,8,7,248.0,,39.0,16.0,6.0,0.0,5.0,1.0,2.0,4.0,1.0,1.0,4.0,0.0,,206.0,12.0,,1.0,,0.0,,
LOCAL-050225,Tinalhas,3,1,124.0,,22.0,11.0,11.0,0.0,2.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,,77.0,3.0,,0.0,,1.0,,
LOCAL-050302,Aldeia de São Francisco de Assis,3,2,175.0,,21.0,5.0,2.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,1.0,1.0,,33.0,3.0,,0.0,,1.0,,
LOCAL-050332,Barco e Coutada,0,4,231.0,,32.0,32.0,11.0,0.0,7.0,3.0,1.0,6.0,0.0,0.0,1.0,2.0,,86.0,9.0,,0.0,,0.0,,
LOCAL-050305,Boidobra,7,20,839.0,,95.0,88.0,58.0,5.0,15.0,5.0,19.0,112.0,1.0,3.0,1.0,6.0,,408.0,26.0,,0.0,,0.0,,
LOCAL-050333,Cantar-Galo e Vila do Carvalho,19,8,1224.0,,84.0,116.0,42.0,1.0,12.0,3.0,12.0,85.0,0.0,1.0,5.0,6.0,,178.0,18.0,,0.0,,1.0,,
LOCAL-050334,Casegas e Ourondo,7,3,175.0,,12.0,14.0,3.0,1.0,3.0,1.0,1.0,14.0,0.0,0.0,1.0,1.0,,68.0,8.0,,2.0,,0.0,,
LOCAL-050308,Cortes do Meio,5,5,248.0,,27.0,15.0,12.0,0.0,4.0,0.0,1.0,24.0,0.0,1.0,1.0,3.0,,59.0,8.0,,0.0,,0.0,,
LOCAL-050335,Covilhã e Canhoso,62,125,5192.0,,408.0,556.0,316.0,16.0,133.0,18.0,113.0,438.0,6.0,6.0,7.0,41.0,,2435.0,137.0,,0.0,,4.0,,
LOCAL-050309,Dominguizo,10,6,270.0,,36.0,25.0,13.0,1.0,8.0,1.0,2.0,8.0,1.0,0.0,0.0,1.0,,143.0,10.0,,0.0,,1.0,,
LOCAL-050310,Erada,2,3,272.0,,23.0,20.0,6.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,,51.0,8.0,,0.0,,0.0,,
LOCAL-050311,Ferro,7,12,372.0,,60.0,42.0,17.0,8.0,11.0,6.0,7.0,24.0,0.0,1.0,2.0,1.0,,148.0,9.0,,0.0,,1.0,,
LOCAL-050312,Orjais,10,3,263.0,,12.0,23.0,13.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,68.0,7.0,,0.0,,0.0,,
LOCAL-050314,Paul,11,8,351.0,,56.0,32.0,14.0,0.0,12.0,3.0,7.0,44.0,1.0,0.0,1.0,2.0,,178.0,18.0,,2.0,,0.0,,
LOCAL-050315,Peraboa,3,1,213.0,,34.0,14.0,13.0,1.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,,132.0,12.0,,0.0,,0.0,,
LOCAL-050336,Peso e Vales do Rio,8,8,387.0,,38.0,34.0,18.0,1.0,5.0,2.0,10.0,17.0,1.0,0.0,2.0,4.0,,141.0,21.0,,0.0,,0.0,,
LOCAL-050318,São Jorge da Beira,2,8,199.0,,12.0,7.0,5.0,0.0,3.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,,66.0,2.0,,0.0,,1.0,,
LOCAL-050322,Sobral de São Miguel,3,1,82.0,,8.0,10.0,1.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,,55.0,14.0,,0.0,,0.0,,
LOCAL-050337,Teixoso e Sarzedo,25,17,1425.0,,129.0,98.0,38.0,1.0,22.0,10.0,14.0,72.0,2.0,2.0,3.0,11.0,,342.0,20.0,,0.0,,2.0,,
LOCAL-050324,Tortosendo,28,30,1479.0,,197.0,130.0,94.0,8.0,27.0,1.0,29.0,292.0,0.0,3.0,3.0,21.0,,624.0,28.0,,1.0,,3.0,,
LOCAL-050325,Unhais da Serra,10,5,419.0,,35.0,31.0,6.0,0.0,3.0,0.0,5.0,26.0,0.0,1.0,0.0,8.0,,107.0,4.0,,0.0,,1.0,,
LOCAL-050338,Vale Formoso e Aldeia do Souto,9,2,203.0,,32.0,14.0,6.0,0.0,1.0,1.0,1.0,13.0,0.0,1.0,0.0,2.0,,50.0,5.0,,0.0,,1.0,,
LOCAL-050327,Verdelhos,6,0,134.0,,12.0,4.0,2.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,,31.0,0.0,,0.0,,1.0,,
LOCAL-050401,Alcaide,4,4,178.0,,24.0,25.0,2.0,0.0,3.0,2.0,1.0,22.0,0.0,0.0,0.0,0.0,,67.0,4.0,,0.0,,0.0,,
LOCAL-050402,Alcaria,6,6,252.0,,62.0,44.0,8.0,3.0,5.0,2.0,2.0,10.0,2.0,1.0,0.0,1.0,,159.0,10.0,,1.0,,1.0,,
LOCAL-050403,Alcongosta,5,2,129.0,,33.0,12.0,1.0,0.0,2.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,,56.0,2.0,,0.0,,1.0,,
LOCAL-050406,Alpedrinha,2,5,196.0,,28.0,12.0,7.0,3.0,4.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,,162.0,9.0,,0.0,,1.0,,
LOCAL-050408,Barroca,3,2,141.0,,17.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,72.0,5.0,,0.0,,0.0,,
LOCAL-050410,Bogas de Cima,1,7,60.0,,19.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,66.0,5.0,,0.0,,0.0,,
LOCAL-050411,Capinha,2,8,96.0,,15.0,8.0,4.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,,39.0,6.0,,0.0,,0.0,,
LOCAL-050412,Castelejo,5,12,168.0,,36.0,18.0,3.0,1.0,1.0,1.0,2.0,14.0,0.0,1.0,0.0,2.0,,103.0,7.0,,0.0,,0.0,,
LOCAL-050413,Castelo Novo,4,3,85.0,,12.0,4.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,,45.0,3.0,,0.0,,0.0,,
LOCAL-050431,Enxames,6,8,116.0,,20.0,19.0,6.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,,57.0,2.0,,1.0,,0.0,,
LOCAL-050416,Fatela,3,1,161.0,,32.0,16.0,2.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,,30.0,5.0,,0.0,,0.0,,
LOCAL-050434,"Fundão, Valverde, Donas e Aldeias de Joanes e Cabo",51,91,3039.0,,544.0,372.0,283.0,20.0,68.0,16.0,74.0,163.0,3.0,8.0,3.0,22.0,,1777.0,91.0,,2.0,,1.0,,
LOCAL-050433,Janeiro de Cima e Bogas de Baixo,3,1,125.0,,19.0,10.0,4.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,,85.0,4.0,,2.0,,0.0,,
LOCAL-050419,Lavacolhos,6,3,68.0,,5.0,2.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,20.0,0.0,,0.0,,0.0,,
LOCAL-050420,Orca,6,4,158.0,,20.0,8.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,,84.0,7.0,,1.0,,1.0,,
LOCAL-050421,Pêro Viseu,10,1,165.0,,37.0,18.0,6.0,0.0,7.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,,61.0,8.0,,0.0,,0.0,,
LOCAL-050435,Póvoa de Atalaia e Atalaia do Campo,12,8,250.0,,64.0,24.0,10.0,1.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,2.0,,169.0,15.0,,2.0,,0.0,,
LOCAL-050424,Silvares,5,14,297.0,,44.0,7.0,14.0,0.0,3.0,0.0,7.0,8.0,0.0,0.0,1.0,1.0,,121.0,6.0,,1.0,,0.0,,
LOCAL-050425,Soalheira,2,2,152.0,,51.0,16.0,5.0,1.0,4.0,1.0,3.0,11.0,0.0,1.0,0.0,2.0,,150.0,11.0,,0.0,,1.0,,
LOCAL-050426,Souto da Casa,6,7,183.0,,29.0,13.0,5.0,1.0,6.0,2.0,2.0,12.0,0.0,3.0,1.0,0.0,,122.0,1.0,,0.0,,0.0,,
LOCAL-050427,Telhado,7,4,167.0,,35.0,20.0,11.0,0.0,3.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,,55.0,3.0,,0.0,,3.0,,
LOCAL-050432,Três Povos,10,3,199.0,,35.0,9.0,6.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,,94.0,12.0,,0.0,,1.0,,
LOCAL-050436,Vale de Prazeres e Mata da Rainha,7,5,282.0,,31.0,18.0,7.0,2.0,3.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,,96.0,6.0,,0.0,,0.0,,
LOCAL-050502,Aldeia de Santa Margarida,3,2,68.0,,11.0,7.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,35.0,1.0,,0.0,,0.0,,
LOCAL-050518,Idanha-a-Nova e Alcafozes,13,14,581.0,,132.0,32.0,31.0,1.0,12.0,2.0,11.0,43.0,0.0,1.0,1.0,5.0,,318.0,15.0,,0.0,,3.0,,
LOCAL-050505,Ladoeiro,3,3,293.0,,61.0,17.0,6.0,2.0,4.0,2.0,2.0,8.0,1.0,0.0,0.0,2.0,,116.0,3.0,,0.0,,0.0,,
LOCAL-050506,Medelim,4,4,72.0,,7.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,27.0,1.0,,0.0,,0.0,,
LOCAL-050519,Monfortinho e Salvaterra do Extremo,6,5,131.0,,45.0,7.0,5.0,1.0,3.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,,90.0,6.0,,1.0,,0.0,,
LOCAL-050520,Monsanto e Idanha-a-Velha,10,3,201.0,,25.0,7.0,3.0,0.0,5.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,,51.0,8.0,,0.0,,1.0,,
LOCAL-050509,Oledo,4,2,79.0,,11.0,4.0,2.0,2.0,3.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,,39.0,1.0,,0.0,,0.0,,
LOCAL-050510,Penha Garcia,12,7,190.0,,27.0,11.0,6.0,1.0,3.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,,83.0,7.0,,0.0,,2.0,,
LOCAL-050511,Proença-a-Velha,1,2,46.0,,11.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,,23.0,1.0,,0.0,,0.0,,
LOCAL-050512,Rosmaninhal,5,0,92.0,,25.0,11.0,5.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,2.0,,42.0,1.0,,0.0,,0.0,,
LOCAL-050514,São Miguel de Acha,2,3,129.0,,14.0,10.0,3.0,0.0,3.0,1.0,3.0,7.0,0.0,2.0,0.0,0.0,,76.0,6.0,,0.0,,1.0,,
LOCAL-050516,Toulões,5,0,70.0,,10.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,23.0,3.0,,0.0,,0.0,,
LOCAL-050521,Zebreira e Segura,8,3,262.0,,39.0,14.0,2.0,1.0,2.0,2.0,2.0,24.0,0.0,1.0,1.0,4.0,,80.0,9.0,,0.0,,1.0,,
LOCAL-050601,Álvaro,1,1,19.0,,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60.0,0.0,,1.0,,2.0,,
LOCAL-050603,Cambas,2,1,40.0,,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,76.0,3.0,,0.0,,2.0,,
LOCAL-050613,Estreito-Vilar Barroco,10,7,178.0,,24.0,13.0,8.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,,248.0,12.0,,0.0,,1.0,,
LOCAL-050605,Isna,3,4,29.0,,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,53.0,5.0,,1.0,,0.0,,
LOCAL-050606,Madeirã,0,2,35.0,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,,40.0,1.0,,0.0,,0.0,,
LOCAL-050607,Mosteiro,3,1,67.0,,10.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,74.0,3.0,,0.0,,0.0,,
LOCAL-050614,Oleiros-Amieira,16,15,441.0,,94.0,32.0,17.0,4.0,6.0,4.0,4.0,12.0,0.0,1.0,4.0,2.0,,543.0,12.0,,3.0,,1.0,,
LOCAL-050609,Orvalho,10,1,114.0,,23.0,2.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,2.0,,77.0,6.0,,0.0,,1.0,,
LOCAL-050610,Sarnadas de São Simão,1,1,41.0,,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54.0,7.0,,0.0,,0.0,,
LOCAL-050611,Sobral,5,1,34.0,,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,57.0,1.0,,0.0,,1.0,,
LOCAL-050713,"Aldeia do Bispo, Águas e Aldeia de João Pires",20,8,215.0,,55.0,20.0,7.0,0.0,2.0,1.0,3.0,18.0,1.0,0.0,0.0,0.0,,121.0,13.0,,0.0,,0.0,,
LOCAL-050704,Aranhas,2,3,76.0,,36.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,41.0,3.0,,1.0,,1.0,,
LOCAL-050706,Benquerença,4,3,119.0,,19.0,16.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,,46.0,5.0,,0.0,,1.0,,
LOCAL-050707,Meimão,2,0,83.0,,4.0,6.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,36.0,4.0,,0.0,,1.0,,
LOCAL-050708,Meimoa,1,1,78.0,,25.0,7.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,41.0,4.0,,0.0,,0.0,,
